Model,Section,Disease,Label,I2R_R@1,I2R_R@5,I2R_R@10,I2R_MRR,R2I_R@1,R2I_R@5,R2I_R@10,R2I_MRR,Query_Count_I2R,Candidate_Pool_Size
MedSigLIP,findings,Overall,All,0.028926736955934035,0.08705055420383888,0.1330089213300892,0.06619536874492137,0.02155365963179165,0.06331387516838796,0.10911540188594522,0.05363659020238516,3699,3269
MedSigLIP,impression,Overall,All,0.023649556570814297,0.07524858908895458,0.1139478634775598,0.056625196314155045,0.017094017094017096,0.06792622582096267,0.10886189833558255,0.050890383908981804,3721,3269
MedSigLIP,softmax,Overall,All,0.018604651162790697,0.05200845665961945,0.08456659619450317,0.042839563994181214,0.024745762711864405,0.09389830508474577,0.14372881355932204,0.06894211096863591,4730,3269
MedSigLIP,centroid_1to1,Overall,All,0.026613643315998775,0.08595900887121444,0.1333741205261548,0.06470035315567849,0.022025084123585194,0.07769960232486998,0.11930253900275313,0.05828654793968512,3269,3269
CXR_Foundation,findings,Overall,All,0.01730197350635307,0.054339010543390104,0.09299810759664774,0.046423092535736,0.014818140996856757,0.05343511450381679,0.09878760664571172,0.04627816648979749,3699,3269
CXR_Foundation,impression,Overall,All,0.013705993012631014,0.04756785810266057,0.07766729373824241,0.03820339862579522,0.012595591542959963,0.044534412955465584,0.07782276203328835,0.0383993912478673,3721,3269
CXR_Foundation,softmax,Overall,All,0.012896405919661734,0.03932346723044398,0.06025369978858351,0.03069683680481505,0.017966101694915255,0.059322033898305086,0.10372881355932204,0.05060802496385108,4730,3269
CXR_Foundation,centroid_1to1,Overall,All,0.01835423676965433,0.05842765371673295,0.09085347200978892,0.046392280978277994,0.01345977363107984,0.051085959008871216,0.08442948914040992,0.04217673934586397,3269,3269
BioViL-T,findings,Overall,All,0.018608257414227565,0.06571040899399108,0.10273308780771467,0.04853622492541951,0.0223309880697461,0.07494646680942184,0.11471397981033955,0.05627323827564327,5159,3269
BioViL-T,impression,Overall,All,0.015506881178522969,0.05660011630160884,0.09129676293855399,0.04155522317441973,0.018660140715815236,0.06332211685530743,0.09850107066381156,0.0475481648081102,5159,3269
BioViL-T,softmax,Overall,All,0.0188020934289591,0.05543710021321962,0.08334948633456096,0.04325777222197435,0.02508412358519425,0.09330070357907617,0.14469256653410828,0.06623103588878194,5159,3269
BioViL-T,centroid_1to1,Overall,All,0.01896604466197614,0.05475680636280208,0.08289996940960538,0.0434744290688682,0.013765677577240747,0.048944631385744876,0.08198225757112267,0.04115407153522492,3269,3269
